"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03"
"C01","933000120117306","F","F19",142.25,1.66666666666667,1,13,14,7
"C01","933000120117307","M","M61",146.5,2,NA,9,13,26
"C01","933000120117308","M","M66",25.5,2,NA,6,2,2
"C01","933000120117311","F","F21",33.25,42.3333333333333,10,12,5,19
"C01","933000120117312","F","F20",14.5,44,4,15,5,20
"C01","933000120117313","F","F26",-4.75,15,5,10,9,22
"C01","933000120117318","M","M54",-2.5,2.33333333333333,0,2,3,5
"C01","933000120117320","M","M58",89,11.6666666666667,5,16,13,16
"C01","933000120117321","M","M55",115,4.66666666666667,2,11,13,1
"C01","933000120117323","F","F23",5.25,1.33333333333333,2,4,1,2
"C01","933000120117324","M","M65",153,1.66666666666667,NA,11,6,2
"C01","933000120117325","M","M59",110.25,1.66666666666667,NA,12,14,3
"C01","933000120117326","M","M69",108.75,5.33333333333333,NA,12,2,4
"C01","933000120117329","F","F22",13.75,37,15,127,3,12
"C01","933000120117331","M","M31",-83.75,14,5,1,0,2
"C01","933000120117332","M","M22",126,0.333333333333333,1,12,134,1
"C01","933000120117333","F","F4",54.75,31.5,NA,10,8,15
"C01","933000120117334","F","F10",47.25,14,NA,15,14,11
"C01","933000120117335","M","M14",0,5,0,0,NA,7
"C01","933000120117336","M","M34",44,5,4,12,17,25
"C01","933000120117338","M","M2",57.5,11,NA,13,11,3
"C01","933000120117339","M","M27",117,1.33333333333333,0,12,0,1
"C01","933000120117340","F","F7",184.75,0,NA,8,4,10
"C01","933000120117341","F","F9",151.75,1,NA,4,12,16
"C01","933000120117342","F","F3",-32.25,20,NA,9,5,4
"C01","933000120117343","F","F11",11.75,39.5,NA,17,19,27
"C01","933000120117344","M","M21",11.5,34,4,15,17,13
"C01","933000120117345","M","M8",0.25,1,2,0,0,1
"C01","933000120117346","F","F13",114.5,0.5,NA,11,10,20
"C01","933000120117347","F","F5",81,1,NA,9,3,3
"C01","933000120117348","M","M7",28.5,49,4,13,14,3
"C01","933000120117349","F","F6",100.5,1,NA,12,9,14
"C01","933000120117350","M","M28",48.75,0.666666666666667,0,0,0,9
"C01","933000120117351","F","F8",0.25,0,NA,0,1,0
"C01","933000120117352","M","M13",78.75,1.33333333333333,4,4,10,1
"C01","933000120117355","F","F12",99.75,2.5,NA,11,11,18
"C01","933000120124696","M","M50",-10.75,8.33333333333333,4,2,1,2
"C01","933000120124697","F","F16",81.5,0,NA,12,13,34
"C01","933000120124698","M","M51",-13.25,6,5,8,7,6
"C01","933000120124699","F","F14",201.5,1,NA,4,8,5
"C01","933000120124701","F","F1",45.5,16,NA,13,11,26
"C01","933000120124703","F","F2",58,9,NA,12,11,26
"C01","933000120124704","F","F18",52.25,36.6666666666667,11,14,12,11
"C01","933000120124705","M","M1",13.75,2.33333333333333,2,5,3,4
"C03","933000120138385","M","M368",-2.75,2.33333333333333,2,2,5,2
"C03","933000120138386","F","F305",95.25,7.66666666666667,6,11,9,21
"C03","933000120138388","F","F323",-16.75,5.33333333333333,3,7,9,9
"C03","933000120138394","M","M359",105.25,1.33333333333333,2,0,13,13
"C03","933000120138395","M","M371",0.25,0,0,0,6,4
"C03","933000120138398","F","F306",40.5,2.33333333333333,6,17,18,11
"C03","933000120138400","F","F303",28,6.66666666666667,0,10,12,0
"C03","933000120138401","M","M372",24.75,8,5,16,14,1
"C03","933000120138403","F","F304",45.75,27,9,12,10,20
"C03","933000120138556","F","F312",130,0.333333333333333,2,10,11,4
"C03","933000120138557","M","M361",34.25,7.66666666666667,4,9,14,16
"C03","933000120138558","M","M354",48.25,8.33333333333333,4,0,11,0
"C03","933000120138559","F","F311",73.75,3.33333333333333,1,13,13,16
"C03","933000120138561","F","F308",39,10.3333333333333,7,5,10,17
"C03","933000120138564","M","M373",67.5,3.33333333333333,3,9,9,21
"C03","933000120138568","F","F302",29.75,16.3333333333333,7,11,10,6
"C03","933000120138575","M","M353",61.75,14,6,13,15,5
