"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box"
"C01","933000120117306","F","F19",142.25,1.66666666666667,1,13,14,7,99,79,84,106,109,114,"NA","NA","NA","NA","NA","3-MED1110"
"C01","933000120117307","M","M61",146.5,2,0,9,13,26,100,80,85,107,110,115,"NA","NA","NA","NA","NA","11-MED1110"
"C01","933000120117308","M","M66",25.5,2,0,6,2,2,99,79,84,106,109,114,"NA","NA","NA","NA","NA","13-MED1110"
"C01","933000120117311","F","F21",33.25,42.3333333333333,10,12,5,19,99,79,84,106,109,114,"NA","NA","NA","NA","NA","5-MED1110"
"C01","933000120117312","F","F20",14.5,44,4,15,5,20,99,79,84,106,109,114,"NA","NA","NA","NA","NA","4-MED1110"
"C01","933000120117313","F","F26",-4.75,15,5,10,9,22,91,71,76,98,101,106,"NA","NA","NA","NA","NA","2-MED1110"
"C01","933000120117318","M","M54",-2.5,2.33333333333333,0,2,3,5,99,79,84,106,109,114,"NA","NA","NA","NA","NA","15-MED1110"
"C01","933000120117320","M","M58",89,11.6666666666667,5,16,13,16,100,80,85,107,110,115,"NA","NA","NA","NA","NA","9-MED1110"
"C01","933000120117321","M","M55",115,4.66666666666667,2,11,13,1,99,79,84,106,109,114,"NA","NA","NA","NA","NA","16-MED1110"
"C01","933000120117323","F","F23",5.25,1.33333333333333,2,4,1,2,100,80,85,107,110,115,"NA","NA","NA","NA","NA","7-MED1110"
"C01","933000120117324","M","M65",153,1.66666666666667,1,11,6,2,99,79,84,106,109,114,"NA","NA","NA","NA","NA","12-MED1110"
"C01","933000120117325","M","M59",110.25,1.66666666666667,0,12,14,3,100,80,85,107,110,115,"NA","NA","NA","NA","NA","10-MED1110"
"C01","933000120117326","M","M69",108.75,5.33333333333333,3,12,2,4,101,81,86,108,111,116,"NA","NA","NA","NA","NA","14-MED1110"
"C01","933000120117329","F","F22",13.75,37,15,127,3,12,99,79,84,106,109,114,"NA","NA","NA","NA","NA","6-MED1110"
"C01","933000120117331","M","M31",-83.75,14,5,1,0,2,107,87,92,114,117,122,"NA","NA","NA","NA","NA","11-MED1110"
"C01","933000120117332","M","M22",126,0.333333333333333,1,12,134,1,106,86,91,113,116,121,"NA","NA","NA","NA","NA","16-MED1110"
"C01","933000120117333","F","F4",54.75,31.5,10,10,8,15,107,87,92,114,117,122,"4-MED1110","NA","4-MED1110","4-MED1110","4-MED1110","4-MED1110"
"C01","933000120117334","F","F10",47.25,14,5,15,14,11,107,87,92,114,117,122,"10-MED1110","NA","10-MED1110","10-MED1110","10-MED1110","2-MED1110"
"C01","933000120117335","M","M14",0,5,0,0,0,7,107,87,92,114,117,122,"NA","NA","NA","NA","NA","14-MED1110"
"C01","933000120117336","M","M34",44,5,4,12,17,25,107,87,92,114,117,122,"NA","NA","NA","NA","NA","12-MED1110"
"C01","933000120117338","M","M2",57.5,11,6,13,11,3,107,87,92,114,117,122,"NA","NA","NA","NA","NA","10-MED1110"
"C01","933000120117339","M","M27",117,1.33333333333333,0,12,0,1,106,86,91,113,116,121,"NA","NA","NA","NA","NA","9-MED1110"
"C01","933000120117340","F","F7",184.75,0,0,8,4,10,106,86,91,113,116,121,"7-MED1110","NA","7-MED1110","7-MED1110","7-MED1110","7-MED1110"
"C01","933000120117341","F","F9",151.75,1,0,4,12,16,106,86,91,113,116,121,"9-MED1110","NA","9-MED1110","9-MED1110","9-MED1110","1-MED1110"
"C01","933000120117342","F","F3",-32.25,20,9,9,5,4,107,87,92,114,117,122,"3-MED1110","NA","3-MED1110","3-MED1110","3-MED1110","3-MED1110"
"C01","933000120117343","F","F11",11.75,39.5,11,17,19,27,107,87,92,114,117,122,"11-MED1110","NA","11-MED1110","11-MED1110","11-MED1110","3-MED1110"
"C01","933000120117344","M","M21",11.5,34,4,15,17,13,106,86,91,113,116,121,"NA","NA","NA","NA","NA","15-MED1110"
"C01","933000120117345","M","M8",0.25,1,2,0,0,1,107,87,92,114,117,122,"NA","NA","NA","NA","NA","12-MED1110"
"C01","933000120117346","F","F13",114.5,0.5,1,11,10,20,101,81,86,108,111,116,"13-MED1110","NA","13-MED1110","13-MED1110","13-MED1110","5-MED1110"
"C01","933000120117347","F","F5",81,1,1,9,3,3,107,87,92,114,117,122,"5-MED1110","NA","5-MED1110","5-MED1110","5-MED1110","5-MED1110"
"C01","933000120117348","M","M7",28.5,49,4,13,14,3,107,87,92,114,117,122,"NA","NA","NA","NA","NA","11-MED1110"
"C01","933000120117349","F","F6",100.5,1,0,12,9,14,107,87,92,114,117,122,"6-MED1110","NA","6-MED1110","6-MED1110","6-MED1110","6-MED1110"
"C01","933000120117350","M","M28",48.75,0.666666666666667,0,0,0,9,107,87,92,114,117,122,"NA","NA","NA","NA","NA","10-MED1110"
"C01","933000120117351","F","F8",0.25,0,0,0,1,0,106,86,91,113,116,121,"8-MED1110","NA","8-MED1110","8-MED1110","8-MED1110","8-MED1110"
"C01","933000120117352","M","M13",78.75,1.33333333333333,4,4,10,1,107,87,92,114,117,122,"NA","NA","NA","NA","NA","13-MED1110"
"C01","933000120117355","F","F12",99.75,2.5,0,11,11,18,107,87,92,114,117,122,"12-MED1110","NA","12-MED1110","12-MED1110","12-MED1110","4-MED1110"
"C01","933000120124696","M","M50",-10.75,8.33333333333333,4,2,1,2,100,80,85,107,110,115,"NA","NA","NA","NA","NA","13-MED1110"
"C01","933000120124697","F","F16",81.5,0,2,12,13,34,101,81,86,108,111,116,"16-MED1110","NA","16-MED1110","16-MED1110","16-MED1110","8-MED1110"
"C01","933000120124698","M","M51",-13.25,6,5,8,7,6,100,80,85,107,110,115,"NA","NA","NA","NA","NA","14-MED1110"
"C01","933000120124699","F","F14",201.5,1,2,4,8,5,101,81,86,108,111,116,"14-MED1110","NA","14-MED1110","14-MED1110","14-MED1110","6-MED1110"
"C01","933000120124700","F","F15",1,0,0,1,1,NA,101,81,86,108,111,NA,"15-MED1110","NA","15-MED1110","15-MED1110","15-MED1110",NA
"C01","933000120124701","F","F1",45.5,16,10,13,11,26,107,87,92,114,117,122,"1-MED1110","NA","1-MED1110","1-MED1110","1-MED1110","1-MED1110"
"C01","933000120124703","F","F2",58,9,6,12,11,26,107,87,92,114,117,122,"2-MED1110","NA","2-MED1110","2-MED1110","2-MED1110","2-MED1110"
"C01","933000120124704","F","F18",52.25,36.6666666666667,11,14,12,11,100,80,85,107,110,115,"NA","NA","NA","NA","NA","1-MED1110"
