"cohort","rfid","sex","labanimalid","esc11_14_mean","mean_sha_last3","pr01","pr02","pr03","shock03","lga_11_age","sha_08_age","pr_01_age","pr_02_age","pr_03_age","shock_03_age","lga_11_box","pr_01_box","pr_02_box","pr_03_box","sha_08_box","shock_03_box","add_ind"
"C01","933000120117306","F","F19",142.25,1.66666666666667,1,13,14,7,99,79,84,106,109,114,"K1-3","K1-3","K1-3","K1-3","K1-3","MED1110-3",0.29065101552315
"C01","933000120117307","M","M61",146.5,2,0,9,13,26,100,80,85,107,110,115,"Q3-2","Q3-2","Q3-2","Q3-2","Q3-2","MED1110-11",0.670014718044025
"C01","933000120117308","M","M66",25.5,2,0,6,2,2,99,79,84,106,109,114,"Q3-5","Q3-5","Q3-5","Q3-5","Q3-5","MED1110-13",-0.846608855654716
"C01","933000120117311","F","F21",33.25,42.3333333333333,10,12,5,19,99,79,84,106,109,114,"K1-5","K1-5","K1-5","K1-5","K1-5","MED1110-5",0.384096040836978
"C01","933000120117312","F","F20",14.5,44,4,15,5,20,99,79,84,106,109,114,"K1-4","K1-4","K1-4","K1-4","K1-4","MED1110-4",0.552920635733231
"C01","933000120117313","F","F26",-4.75,15,5,10,9,22,91,71,76,98,101,106,"K1-2","K1-2","K1-2","K1-2","K1-2","MED1110-2",0.0892653516377487
"C01","933000120117318","M","M54",-2.5,2.33333333333333,0,2,3,5,99,79,84,106,109,114,"Q2-4","Q2-4","Q2-4","Q2-4","Q2-4","MED1110-15",-0.964523732949804
"C01","933000120117320","M","M58",89,11.6666666666667,5,16,13,16,100,80,85,107,110,115,"Q2-6","Q2-6","Q2-6","Q2-6","Q2-6","MED1110-9",1.53384393145289
"C01","933000120117321","M","M55",115,4.66666666666667,2,11,13,1,99,79,84,106,109,114,"Q2-5","Q2-5","Q2-5","Q2-5","Q2-5","MED1110-16",0.125466571917341
"C01","933000120117322","M","M62",NA,2,0,NA,NA,NA,NA,80,85,NA,NA,NA,NA,"Q3-3",NA,NA,"Q3-3",NA,NA
"C01","933000120117323","F","F23",5.25,1.33333333333333,2,4,1,2,100,80,85,107,110,115,"K2-1","K2-1","K2-1","K2-1","K2-1","MED1110-7",-1.2328738498001
"C01","933000120117324","M","M65",153,1.66666666666667,1,11,6,2,99,79,84,106,109,114,"Q3-4","Q3-4","Q3-4","Q3-4","Q3-4","MED1110-12",0.212572543658443
"C01","933000120117325","M","M59",110.25,1.66666666666667,0,12,14,3,100,80,85,107,110,115,"Q3-1","Q3-1","Q3-1","Q3-1","Q3-1","MED1110-10",0.369746945456755
"C01","933000120117326","M","M69",108.75,5.33333333333333,3,12,2,4,101,81,86,108,111,116,"Q3-6","Q3-6","Q3-6","Q3-6","Q3-6","MED1110-14",-0.174068356814232
"C01","933000120117329","F","F22",13.75,37,15,NA,3,12,99,79,84,NA,109,114,"K1-6","K1-6",NA,"K1-6","K1-6","MED1110-6",-0.150701922482576
"C01","933000120117331","M","M31",-83.75,14,5,1,0,2,107,87,92,114,117,122,"K3-6","K3-6","K3-6","K3-6","K3-6","MED1110-11",-0.592197442723509
